""
"no.episodes",167190
"no.patients",66829
"no.stammdata.there",167190
"earliest.recorded.episode.start",7371
"latest.recorded.episode.start",19721
"no.males",75507
"no.females",91503
"no.transgender",0
"no.undefined.sex",0
"percentage.chronically.diseased.patients",0
"percentage.episodes.of.chronically.diseased",0
"percentage.copd.patients",0.136811863113319
"percentage.episodes.of.copd.patients",0.180142353011544
"min.age",-8
"mean.age",47.7045935761708
"median.age",49
"max.age",100
"percentage.episodes.minors",0.0766074525988396
"percentage.patients.minors",0.100914273743435
"min.length.of.episode",-1
"mean.length.of.episode",17.5372390693223
"max.length.of.episode",21
"average.no.visit.per.patient",2.50175821873737
"percentage.stammdata.there",0
"percentage.males.episodes",0.451623900951014
"percentage.females.episodes",0.547299479633949
"percentage.males.patients",0.463735803318918
"percentage.females.patients",0.534977330200961
"no.private.insurance",15322
"percentage.private.insurance",0.0916442370955201
"percentage.retired.patients",0.270601086354726
"percentage.retired.episodes",0.317596746216879
